Final form without custom sprite;;pre-evos that have custom sprites;;;
284.195; evolves from : ;282.194;;;
287.195; evolves from : ;285.194;;;
313.195; evolves from : ;311.194;;;
335.195; evolves from : ;394.194;;;
359.195; evolves from : ;359.194;;;
381.195; evolves from : ;381.194;;;
3.196; evolves from : ;1.133;;;
6.196; evolves from : ;5.133;4.133;;
12.196; evolves from : ;12.133;;;
18.196; evolves from : ;17.133;16.133;;
20.196; evolves from : ;19.133;;;
22.196; evolves from : ;21.133;;;
26.196; evolves from : ;25.133;;;
31.196; evolves from : ;30.133;;;
34.196; evolves from : ;32.133;;;
38.196; evolves from : ;37.133;;;
40.196; evolves from : ;40.133;39.133;174.133;
49.196; evolves from : ;49.133;48.133;;
53.196; evolves from : ;53.133;52.133;;
78.196; evolves from : ;78.133;77.133;;
80.196; evolves from : ;79.133;;;
83.196; evolves from : ;83.133;;;
89.196; evolves from : ;89.133;88.133;;
94.196; evolves from : ;94.133;93.133;92.133;
101.196; evolves from : ;100.133;;;
105.196; evolves from : ;104.133;;;
110.196; evolves from : ;109.133;;;
122.196; evolves from : ;122.133;258.133;;
131.196; evolves from : ;131.133;;;
141.196; evolves from : ;140.133;;;
143.196; evolves from : ;260.133;;;
149.196; evolves from : ;149.133;147.133;;
154.196; evolves from : ;152.133;;;
157.196; evolves from : ;155.133;;;
160.196; evolves from : ;158.133;;;
162.196; evolves from : ;161.133;;;
171.196; evolves from : ;170.133;;;
178.196; evolves from : ;178.133;177.133;;
182.196; evolves from : ;43.133;;;
184.196; evolves from : ;184.133;183.133;252.133;
186.196; evolves from : ;186.133;;;
192.196; evolves from : ;191.133;;;
196.196; evolves from : ;196.133;133.133;;
199.196; evolves from : ;79.133;;;
202.196; evolves from : ;202.133;;;
206.196; evolves from : ;206.133;;;
217.196; evolves from : ;217.133;216.133;;
226.196; evolves from : ;261.133;;;
230.196; evolves from : ;116.133;;;
235.196; evolves from : ;235.133;;;
263.196; evolves from : ;263.133;82.133;81.133;
264.196; evolves from : ;108.133;;;
266.196; evolves from : ;114.133;;;
268.196; evolves from : ;268.133;126.133;240.133;
273.196; evolves from : ;273.133;;;
274.196; evolves from : ;220.133;;;
275.196; evolves from : ;275.133;;;
281.196; evolves from : ;279.133;;;
284.196; evolves from : ;282.133;;;
288.196; evolves from : ;286.133;;;
296.196; evolves from : ;296.133;384.133;;
304.196; evolves from : ;303.133;;;
313.196; evolves from : ;311.133;;;
314.196; evolves from : ;314.133;;;
324.196; evolves from : ;322.133;;;
331.196; evolves from : ;330.133;;;
333.196; evolves from : ;391.133;;;
346.196; evolves from : ;346.133;;;
352.196; evolves from : ;352.133;401.133;;
360.196; evolves from : ;360.133;408.133;;
368.196; evolves from : ;414.133;;;
370.196; evolves from : ;370.133;;;
373.196; evolves from : ;373.133;;;
6.197; evolves from : ;5.133;4.133;;
22.197; evolves from : ;21.133;;;
38.197; evolves from : ;37.133;;;
49.197; evolves from : ;49.133;48.133;;
53.197; evolves from : ;53.133;52.133;;
59.197; evolves from : ;58.133;;;
78.197; evolves from : ;78.133;77.133;;
80.197; evolves from : ;79.133;;;
83.197; evolves from : ;83.133;;;
89.197; evolves from : ;89.133;88.133;;
101.197; evolves from : ;100.133;;;
131.197; evolves from : ;131.133;;;
149.197; evolves from : ;149.133;147.133;;
151.197; evolves from : ;151.133;;;
154.197; evolves from : ;152.133;;;
160.197; evolves from : ;158.133;;;
162.197; evolves from : ;161.133;;;
168.197; evolves from : ;168.133;167.133;;
171.197; evolves from : ;170.133;;;
182.197; evolves from : ;43.133;;;
184.197; evolves from : ;184.133;183.133;252.133;
186.197; evolves from : ;186.133;;;
192.197; evolves from : ;191.133;;;
199.197; evolves from : ;79.133;;;
202.197; evolves from : ;202.133;;;
206.197; evolves from : ;206.133;;;
217.197; evolves from : ;217.133;216.133;;
226.197; evolves from : ;261.133;;;
229.197; evolves from : ;228.133;;;
230.197; evolves from : ;116.133;;;
263.197; evolves from : ;263.133;82.133;81.133;
264.197; evolves from : ;108.133;;;
266.197; evolves from : ;114.133;;;
268.197; evolves from : ;268.133;126.133;240.133;
273.197; evolves from : ;273.133;;;
274.197; evolves from : ;220.133;;;
275.197; evolves from : ;275.133;;;
281.197; evolves from : ;279.133;;;
284.197; evolves from : ;282.133;;;
288.197; evolves from : ;286.133;;;
296.197; evolves from : ;296.133;384.133;;
302.197; evolves from : ;301.133;;;
304.197; evolves from : ;303.133;;;
313.197; evolves from : ;311.133;;;
314.197; evolves from : ;314.133;;;
315.197; evolves from : ;315.133;;;
331.197; evolves from : ;330.133;;;
333.197; evolves from : ;391.133;;;
335.197; evolves from : ;394.133;;;
338.197; evolves from : ;399.133;;;
346.197; evolves from : ;346.133;;;
352.197; evolves from : ;352.133;401.133;;
360.197; evolves from : ;360.133;408.133;;
367.197; evolves from : ;365.133;;;
368.197; evolves from : ;414.133;;;
373.197; evolves from : ;373.133;;;
3.199; evolves from : ;3.79;;;
12.199; evolves from : ;12.79;;;
18.199; evolves from : ;17.79;16.79;;
20.199; evolves from : ;19.79;;;
26.199; evolves from : ;26.79;25.79;;
49.199; evolves from : ;49.79;48.79;;
51.199; evolves from : ;50.79;;;
53.199; evolves from : ;53.79;;;
55.199; evolves from : ;54.79;;;
65.199; evolves from : ;64.79;;;
71.199; evolves from : ;70.79;;;
89.199; evolves from : ;89.79;88.79;;
91.199; evolves from : ;90.79;;;
97.199; evolves from : ;96.79;;;
103.199; evolves from : ;102.79;;;
107.199; evolves from : ;107.79;;;
132.199; evolves from : ;132.79;;;
171.199; evolves from : ;170.79;;;
181.199; evolves from : ;181.79;;;
182.199; evolves from : ;44.79;43.79;;
184.199; evolves from : ;183.79;;;
189.199; evolves from : ;189.79;;;
195.199; evolves from : ;195.79;194.79;;
196.199; evolves from : ;196.79;;;
211.199; evolves from : ;211.79;;;
224.199; evolves from : ;223.79;;;
230.199; evolves from : ;116.79;;;
248.199; evolves from : ;247.79;246.79;;
264.199; evolves from : ;264.79;;;
268.199; evolves from : ;126.79;240.79;;
306.199; evolves from : ;305.79;;;
309.199; evolves from : ;385.79;;;
310.199; evolves from : ;310.79;;;
313.199; evolves from : ;311.79;;;
314.199; evolves from : ;314.79;;;
321.199; evolves from : ;321.79;320.79;319.79;
332.199; evolves from : ;388.79;;;
333.199; evolves from : ;333.79;;;
335.199; evolves from : ;335.79;;;
362.199; evolves from : ;362.79;411.79;;
367.199; evolves from : ;365.79;;;
383.199; evolves from : ;294.79;;;
420.199; evolves from : ;420.79;;;
3.201; evolves from : ;1.201;;;
20.201; evolves from : ;19.201;;;
24.201; evolves from : ;23.201;;;
26.201; evolves from : ;25.201;;;
31.201; evolves from : ;29.201;;;
34.201; evolves from : ;32.201;;;
45.201; evolves from : ;44.201;;;
53.201; evolves from : ;52.201;;;
62.201; evolves from : ;60.201;;;
80.201; evolves from : ;79.201;;;
135.201; evolves from : ;133.201;;;
139.201; evolves from : ;138.201;;;
141.201; evolves from : ;140.201;;;
162.201; evolves from : ;161.201;;;
169.201; evolves from : ;41.201;;;
171.201; evolves from : ;170.201;;;
182.201; evolves from : ;44.201;;;
186.201; evolves from : ;60.201;;;
196.201; evolves from : ;133.201;;;
197.201; evolves from : ;133.201;;;
199.201; evolves from : ;79.201;;;
254.201; evolves from : ;190.201;;;
271.201; evolves from : ;133.201;;;
272.201; evolves from : ;133.201;;;
274.201; evolves from : ;220.201;;;
313.201; evolves from : ;311.201;;;
329.201; evolves from : ;327.201;;;
335.201; evolves from : ;394.201;;;
352.201; evolves from : ;400.201;;;
26.202; evolves from : ;25.202;;;
53.202; evolves from : ;52.253;;;
76.202; evolves from : ;75.202;;;
78.202; evolves from : ;77.202;;;
97.202; evolves from : ;96.202;;;
99.202; evolves from : ;98.253;;;
119.202; evolves from : ;118.202;;;
121.202; evolves from : ;120.253;;;
130.202; evolves from : ;129.202;;;
171.202; evolves from : ;170.202;170.253;;
201.202; evolves from : ;201.253;;;
288.202; evolves from : ;286.202;285.253;;
355.202; evolves from : ;404.253;;;
371.202; evolves from : ;371.253;;;
18.203; evolves from : ;17.203;;;
45.203; evolves from : ;44.203;;;
51.203; evolves from : ;50.203;;;
85.203; evolves from : ;84.203;;;
160.203; evolves from : ;158.203;;;
169.203; evolves from : ;41.203;;;
171.203; evolves from : ;170.203;;;
182.203; evolves from : ;44.203;;;
256.203; evolves from : ;198.203;;;
264.203; evolves from : ;108.203;;;
265.203; evolves from : ;112.203;;;
313.203; evolves from : ;311.203;;;
332.203; evolves from : ;388.203;;;
383.203; evolves from : ;294.203;;;
18.205; evolves from : ;17.204;16.204;;
20.205; evolves from : ;19.204;;;
26.205; evolves from : ;25.204;172.204;;
97.205; evolves from : ;96.204;;;
192.205; evolves from : ;191.204;;;
262.205; evolves from : ;215.204;;;
270.205; evolves from : ;193.204;;;
313.205; evolves from : ;311.204;;;
367.205; evolves from : ;366.204;;;
26.206; evolves from : ;25.206;;;
51.206; evolves from : ;50.206;;;
171.206; evolves from : ;170.206;;;
184.206; evolves from : ;252.206;;;
212.206; evolves from : ;123.206;;;
248.206; evolves from : ;247.206;;;
263.206; evolves from : ;81.206;;;
313.206; evolves from : ;311.206;;;
367.206; evolves from : ;365.206;;;
20.208; evolves from : ;20.95;;;
28.208; evolves from : ;28.95;27.95;;
51.208; evolves from : ;50.95;;;
68.208; evolves from : ;67.95;66.95;;
76.208; evolves from : ;76.95;75.95;74.95;
87.208; evolves from : ;87.95;;;
99.208; evolves from : ;99.95;;;
135.208; evolves from : ;135.95;;;
141.208; evolves from : ;140.95;;;
171.208; evolves from : ;170.95;;;
205.208; evolves from : ;205.95;;;
214.208; evolves from : ;214.95;;;
217.208; evolves from : ;217.95;;;
266.208; evolves from : ;114.95;;;
275.208; evolves from : ;137.95;;;
281.208; evolves from : ;279.95;;;
290.208; evolves from : ;290.95;;;
304.208; evolves from : ;303.95;;;
342.208; evolves from : ;342.95;;;
346.208; evolves from : ;346.95;;;
356.208; evolves from : ;382.95;;;
359.208; evolves from : ;406.95;;;
369.208; evolves from : ;416.95;;;
373.208; evolves from : ;373.95;;;
383.208; evolves from : ;383.95;294.95;;
3.210; evolves from : ;1.209;;;
18.210; evolves from : ;16.209;;;
26.210; evolves from : ;25.209;172.209;;
28.210; evolves from : ;27.209;;;
38.210; evolves from : ;37.209;;;
53.210; evolves from : ;52.209;;;
57.210; evolves from : ;56.209;;;
59.210; evolves from : ;58.209;;;
119.210; evolves from : ;118.209;;;
121.210; evolves from : ;121.209;;;
169.210; evolves from : ;41.209;;;
202.210; evolves from : ;253.209;;;
217.210; evolves from : ;216.209;;;
232.210; evolves from : ;231.209;;;
265.210; evolves from : ;111.209;;;
267.210; evolves from : ;239.209;;;
287.210; evolves from : ;285.209;;;
288.210; evolves from : ;285.209;;;
313.210; evolves from : ;311.209;;;
373.210; evolves from : ;373.209;;;
26.211; evolves from : ;25.211;;;
55.211; evolves from : ;54.211;;;
73.211; evolves from : ;72.211;;;
80.211; evolves from : ;79.211;;;
99.211; evolves from : ;98.211;;;
171.211; evolves from : ;170.211;;;
189.211; evolves from : ;187.211;;;
199.211; evolves from : ;79.211;;;
224.211; evolves from : ;223.211;;;
230.211; evolves from : ;116.211;;;
242.211; evolves from : ;259.211;;;
269.211; evolves from : ;175.211;;;
313.211; evolves from : ;311.211;;;
333.211; evolves from : ;390.211;;;
9.212; evolves from : ;9.123;;;
26.212; evolves from : ;25.123;;;
49.212; evolves from : ;49.123;48.123;;
103.212; evolves from : ;102.123;;;
130.212; evolves from : ;129.123;;;
132.212; evolves from : ;132.123;;;
146.212; evolves from : ;146.123;;;
166.212; evolves from : ;166.123;;;
168.212; evolves from : ;168.123;;;
242.212; evolves from : ;113.123;;;
263.212; evolves from : ;263.123;;;
334.212; evolves from : ;334.123;;;
336.212; evolves from : ;396.123;;;
350.212; evolves from : ;350.123;;;
368.212; evolves from : ;368.123;;;
370.212; evolves from : ;370.123;;;
373.212; evolves from : ;373.123;;;
26.213; evolves from : ;25.213;172.213;;
40.213; evolves from : ;39.213;;;
55.213; evolves from : ;54.213;;;
130.213; evolves from : ;129.213;;;
171.213; evolves from : ;170.213;;;
264.213; evolves from : ;108.213;;;
313.213; evolves from : ;312.213;311.213;;
334.213; evolves from : ;393.213;;;
336.213; evolves from : ;396.213;;;
171.214; evolves from : ;170.214;;;
264.214; evolves from : ;108.214;;;
329.214; evolves from : ;328.214;;;
6.217; evolves from : ;4.216;;;
12.217; evolves from : ;11.216;10.216;;
18.217; evolves from : ;16.216;;;
40.217; evolves from : ;39.216;174.216;;
45.217; evolves from : ;43.216;;;
65.217; evolves from : ;63.216;;;
122.217; evolves from : ;258.216;;;
130.217; evolves from : ;130.216;129.216;;
134.217; evolves from : ;133.216;;;
135.217; evolves from : ;133.216;;;
136.217; evolves from : ;133.216;;;
162.217; evolves from : ;161.216;;;
169.217; evolves from : ;41.216;;;
178.217; evolves from : ;177.216;;;
182.217; evolves from : ;43.216;;;
185.217; evolves from : ;257.216;;;
237.217; evolves from : ;236.216;;;
242.217; evolves from : ;113.216;;;
339.217; evolves from : ;133.216;;;
353.217; evolves from : ;402.216;;;
354.217; evolves from : ;403.216;;;
372.217; evolves from : ;417.216;;;
374.217; evolves from : ;419.216;;;
20.219; evolves from : ;20.218;19.218;;
22.219; evolves from : ;22.218;21.218;;
26.219; evolves from : ;25.218;;;
40.219; evolves from : ;174.218;;;
78.219; evolves from : ;77.218;;;
85.219; evolves from : ;84.218;;;
105.219; evolves from : ;104.218;;;
134.219; evolves from : ;133.218;;;
135.219; evolves from : ;133.218;;;
136.219; evolves from : ;133.218;;;
168.219; evolves from : ;167.218;;;
171.219; evolves from : ;170.218;;;
186.219; evolves from : ;61.218;60.218;;
189.219; evolves from : ;187.218;;;
196.219; evolves from : ;133.218;;;
197.219; evolves from : ;133.218;;;
212.219; evolves from : ;123.218;;;
217.219; evolves from : ;216.218;;;
232.219; evolves from : ;231.218;;;
248.219; evolves from : ;247.218;;;
266.219; evolves from : ;266.218;;;
271.219; evolves from : ;133.218;;;
272.219; evolves from : ;133.218;;;
287.219; evolves from : ;286.218;285.218;;
288.219; evolves from : ;288.218;286.218;285.218;
302.219; evolves from : ;301.218;;;
352.219; evolves from : ;400.218;;;
367.219; evolves from : ;365.218;;;
420.219; evolves from : ;420.218;;;
26.222; evolves from : ;25.222;172.222;;
119.222; evolves from : ;118.222;;;
149.222; evolves from : ;147.222;;;
171.222; evolves from : ;170.222;;;
230.222; evolves from : ;116.222;;;
263.222; evolves from : ;81.222;;;
269.222; evolves from : ;175.222;;;
313.222; evolves from : ;311.222;;;
62.224; evolves from : ;61.223;60.223;;
71.224; evolves from : ;69.223;;;
91.224; evolves from : ;90.223;;;
94.224; evolves from : ;92.223;;;
99.224; evolves from : ;98.223;;;
101.224; evolves from : ;100.223;;;
106.224; evolves from : ;236.223;;;
107.224; evolves from : ;236.223;;;
119.224; evolves from : ;119.223;;;
121.224; evolves from : ;120.223;;;
130.224; evolves from : ;129.223;;;
144.224; evolves from : ;144.223;;;
145.224; evolves from : ;145.223;;;
146.224; evolves from : ;146.223;;;
157.224; evolves from : ;155.223;;;
166.224; evolves from : ;165.223;;;
171.224; evolves from : ;170.223;;;
182.224; evolves from : ;182.223;;;
189.224; evolves from : ;187.223;;;
192.224; evolves from : ;191.223;;;
214.224; evolves from : ;214.223;;;
230.224; evolves from : ;116.223;;;
232.224; evolves from : ;231.223;;;
237.224; evolves from : ;236.223;;;
284.224; evolves from : ;282.223;;;
314.224; evolves from : ;314.223;;;
329.224; evolves from : ;328.223;;;
358.224; evolves from : ;358.223;;;
28.225; evolves from : ;27.225;;;
121.225; evolves from : ;120.225;;;
124.225; evolves from : ;238.225;;;
171.225; evolves from : ;170.225;;;
202.225; evolves from : ;253.225;;;
268.225; evolves from : ;240.225;;;
274.225; evolves from : ;220.225;;;
281.225; evolves from : ;279.225;;;
287.225; evolves from : ;286.225;;;
288.225; evolves from : ;286.225;;;
313.225; evolves from : ;311.225;;;
354.225; evolves from : ;403.225;;;
3.226; evolves from : ;2.226;;;
87.226; evolves from : ;86.226;;;
99.226; evolves from : ;98.261;;;
134.226; evolves from : ;133.226;;;
135.226; evolves from : ;133.226;;;
136.226; evolves from : ;133.226;;;
141.226; evolves from : ;140.226;140.261;;
149.226; evolves from : ;147.226;147.261;;
189.226; evolves from : ;187.226;;;
192.226; evolves from : ;191.226;;;
196.226; evolves from : ;133.226;;;
230.226; evolves from : ;116.226;;;
267.226; evolves from : ;239.261;;;
268.226; evolves from : ;240.226;;;
271.226; evolves from : ;133.226;;;
272.226; evolves from : ;133.226;;;
281.226; evolves from : ;279.261;;;
299.226; evolves from : ;297.261;;;
306.226; evolves from : ;305.261;;;
313.226; evolves from : ;311.226;311.261;;
314.226; evolves from : ;387.261;;;
332.226; evolves from : ;388.261;;;
334.226; evolves from : ;392.226;392.261;;
339.226; evolves from : ;133.226;;;
352.226; evolves from : ;400.261;;;
359.226; evolves from : ;406.261;;;
130.227; evolves from : ;129.227;;;
242.227; evolves from : ;113.227;;;
313.227; evolves from : ;311.227;;;
362.227; evolves from : ;411.227;;;
20.229; evolves from : ;19.228;;;
26.229; evolves from : ;25.228;;;
45.229; evolves from : ;43.228;;;
53.229; evolves from : ;52.228;;;
55.229; evolves from : ;54.228;;;
59.229; evolves from : ;58.228;;;
62.229; evolves from : ;60.228;;;
134.229; evolves from : ;133.228;;;
135.229; evolves from : ;133.228;;;
136.229; evolves from : ;133.228;;;
171.229; evolves from : ;170.228;;;
182.229; evolves from : ;43.228;;;
186.229; evolves from : ;60.228;;;
271.229; evolves from : ;133.228;;;
288.229; evolves from : ;286.228;285.228;;
313.229; evolves from : ;311.228;;;
329.229; evolves from : ;327.228;;;
332.229; evolves from : ;388.228;;;
333.229; evolves from : ;390.228;;;
359.229; evolves from : ;406.228;;;
360.229; evolves from : ;408.228;;;
24.230; evolves from : ;23.116;;;
26.230; evolves from : ;25.116;;;
55.230; evolves from : ;54.116;;;
71.230; evolves from : ;69.116;;;
73.230; evolves from : ;73.117;73.116;72.116;
76.230; evolves from : ;75.116;74.116;;
80.230; evolves from : ;79.116;;;
99.230; evolves from : ;98.116;;;
149.230; evolves from : ;147.116;;;
157.230; evolves from : ;155.116;;;
169.230; evolves from : ;41.116;;;
171.230; evolves from : ;170.116;;;
189.230; evolves from : ;187.116;;;
199.230; evolves from : ;79.116;;;
211.230; evolves from : ;211.116;;;
224.230; evolves from : ;224.117;223.116;;
226.230; evolves from : ;226.116;;;
243.230; evolves from : ;243.117;;;
262.230; evolves from : ;215.116;;;
265.230; evolves from : ;111.116;;;
278.230; evolves from : ;277.116;276.116;;
281.230; evolves from : ;279.116;;;
306.230; evolves from : ;305.116;;;
308.230; evolves from : ;307.116;;;
313.230; evolves from : ;311.116;;;
321.230; evolves from : ;320.116;319.116;;
335.230; evolves from : ;335.117;335.116;;
362.230; evolves from : ;411.116;;;
3.232; evolves from : ;1.231;;;
20.232; evolves from : ;20.231;19.231;;
24.232; evolves from : ;24.231;23.231;;
28.232; evolves from : ;27.231;;;
55.232; evolves from : ;55.231;54.231;;
65.232; evolves from : ;63.231;;;
97.232; evolves from : ;97.231;96.231;;
101.232; evolves from : ;100.231;;;
105.232; evolves from : ;104.231;;;
107.232; evolves from : ;236.231;;;
121.232; evolves from : ;120.231;;;
134.232; evolves from : ;133.231;;;
135.232; evolves from : ;133.231;;;
136.232; evolves from : ;133.231;;;
185.232; evolves from : ;257.231;;;
199.232; evolves from : ;79.231;;;
225.232; evolves from : ;225.231;;;
230.232; evolves from : ;116.231;;;
237.232; evolves from : ;236.231;;;
263.232; evolves from : ;81.231;;;
271.232; evolves from : ;133.231;;;
272.232; evolves from : ;133.231;;;
288.232; evolves from : ;286.231;285.231;;
313.232; evolves from : ;313.231;311.231;;
318.232; evolves from : ;316.231;;;
332.232; evolves from : ;388.231;;;
339.232; evolves from : ;133.231;;;
352.232; evolves from : ;400.231;;;
370.232; evolves from : ;370.231;;;
373.232; evolves from : ;373.231;;;
6.234; evolves from : ;5.234;;;
18.234; evolves from : ;17.234;;;
26.234; evolves from : ;25.234;;;
38.234; evolves from : ;37.234;;;
53.234; evolves from : ;52.234;;;
59.234; evolves from : ;58.234;;;
65.234; evolves from : ;64.234;;;
139.234; evolves from : ;138.234;;;
171.234; evolves from : ;170.234;;;
185.234; evolves from : ;257.234;;;
263.234; evolves from : ;81.234;;;
313.234; evolves from : ;311.234;;;
6.235; evolves from : ;4.235;;;
24.235; evolves from : ;23.235;;;
26.235; evolves from : ;25.235;;;
45.235; evolves from : ;43.235;;;
68.235; evolves from : ;66.235;;;
171.235; evolves from : ;170.235;;;
182.235; evolves from : ;43.235;;;
219.235; evolves from : ;218.235;;;
313.235; evolves from : ;311.235;;;
362.235; evolves from : ;411.235;;;
372.235; evolves from : ;417.235;;;
383.235; evolves from : ;294.235;;;
9.237; evolves from : ;7.236;;;
18.237; evolves from : ;17.236;16.236;;
20.237; evolves from : ;19.236;;;
24.237; evolves from : ;23.236;;;
26.237; evolves from : ;25.236;172.236;;
38.237; evolves from : ;37.236;;;
40.237; evolves from : ;39.236;174.236;;
53.237; evolves from : ;52.236;;;
57.237; evolves from : ;56.236;;;
62.237; evolves from : ;60.236;;;
71.237; evolves from : ;69.236;;;
76.237; evolves from : ;75.236;;;
80.237; evolves from : ;79.236;;;
97.237; evolves from : ;97.236;;;
101.237; evolves from : ;101.236;100.236;;
139.237; evolves from : ;138.236;;;
146.237; evolves from : ;146.236;;;
151.237; evolves from : ;151.236;;;
184.237; evolves from : ;184.236;183.236;;
189.237; evolves from : ;187.236;;;
192.237; evolves from : ;191.236;;;
195.237; evolves from : ;194.236;;;
205.237; evolves from : ;204.236;;;
208.237; evolves from : ;95.236;;;
226.237; evolves from : ;261.236;;;
254.237; evolves from : ;190.236;;;
273.237; evolves from : ;207.236;;;
274.237; evolves from : ;220.236;;;
296.237; evolves from : ;384.236;;;
338.237; evolves from : ;338.236;399.236;;
26.241; evolves from : ;25.241;;;
45.241; evolves from : ;43.241;;;
105.241; evolves from : ;104.241;;;
119.241; evolves from : ;118.241;;;
171.241; evolves from : ;170.241;;;
182.241; evolves from : ;43.241;;;
248.241; evolves from : ;246.241;;;
269.241; evolves from : ;176.241;;;
313.241; evolves from : ;311.241;;;
332.241; evolves from : ;389.241;;;
383.241; evolves from : ;294.241;;;
3.242; evolves from : ;1.113;;;
12.242; evolves from : ;12.113;;;
26.242; evolves from : ;25.113;;;
40.242; evolves from : ;40.113;;;
45.242; evolves from : ;43.113;43.259;;
49.242; evolves from : ;48.113;;;
101.242; evolves from : ;101.113;100.113;100.259;
115.242; evolves from : ;115.113;;;
122.242; evolves from : ;258.113;;;
127.242; evolves from : ;127.113;;;
130.242; evolves from : ;129.259;;;
149.242; evolves from : ;147.259;;;
169.242; evolves from : ;42.113;;;
171.242; evolves from : ;170.113;170.259;;
182.242; evolves from : ;43.113;43.259;;
184.242; evolves from : ;183.113;;;
197.242; evolves from : ;197.113;;;
208.242; evolves from : ;208.113;;;
212.242; evolves from : ;123.113;;;
222.242; evolves from : ;222.113;;;
264.242; evolves from : ;108.113;;;
274.242; evolves from : ;274.113;;;
281.242; evolves from : ;279.259;;;
287.242; evolves from : ;287.113;;;
295.242; evolves from : ;295.113;;;
313.242; evolves from : ;311.113;311.259;;
318.242; evolves from : ;316.259;;;
336.242; evolves from : ;396.113;;;
359.242; evolves from : ;406.259;;;
362.242; evolves from : ;411.113;411.259;;
15.243; evolves from : ;14.243;;;
171.243; evolves from : ;170.243;;;
313.243; evolves from : ;311.243;;;
324.243; evolves from : ;322.243;;;
383.243; evolves from : ;294.243;;;
28.244; evolves from : ;27.244;;;
157.244; evolves from : ;156.244;;;
171.244; evolves from : ;170.244;;;
189.244; evolves from : ;188.244;;;
230.244; evolves from : ;116.244;;;
255.244; evolves from : ;200.244;;;
268.244; evolves from : ;240.244;;;
313.244; evolves from : ;311.244;;;
383.244; evolves from : ;294.244;;;
80.245; evolves from : ;79.245;;;
171.245; evolves from : ;170.245;;;
199.245; evolves from : ;79.245;;;
263.245; evolves from : ;81.245;;;
313.245; evolves from : ;311.245;;;
383.245; evolves from : ;294.245;;;
47.248; evolves from : ;47.246;;;
87.248; evolves from : ;86.246;;;
97.248; evolves from : ;97.246;96.246;;
132.248; evolves from : ;132.246;;;
154.248; evolves from : ;152.246;;;
182.248; evolves from : ;44.246;;;
189.248; evolves from : ;187.246;;;
197.248; evolves from : ;197.247;;;
211.248; evolves from : ;211.247;211.246;;
241.248; evolves from : ;241.247;;;
263.248; evolves from : ;81.246;;;
274.248; evolves from : ;220.246;;;
288.248; evolves from : ;288.247;286.246;285.246;
304.248; evolves from : ;304.247;;;
332.248; evolves from : ;389.246;388.246;;
105.249; evolves from : ;104.249;;;
289.249; evolves from : ;382.249;;;
313.249; evolves from : ;311.249;;;
333.249; evolves from : ;391.249;;;
352.249; evolves from : ;400.249;;;
356.249; evolves from : ;382.249;;;
383.249; evolves from : ;294.249;;;
171.250; evolves from : ;170.250;;;
242.250; evolves from : ;113.250;;;
268.250; evolves from : ;240.250;;;
313.250; evolves from : ;311.250;;;
383.250; evolves from : ;294.250;;;
26.251; evolves from : ;25.251;;;
154.251; evolves from : ;152.251;;;
171.251; evolves from : ;170.251;;;
248.251; evolves from : ;246.251;;;
262.251; evolves from : ;215.251;;;
281.251; evolves from : ;279.251;;;
287.251; evolves from : ;286.251;;;
288.251; evolves from : ;286.251;;;
313.251; evolves from : ;311.251;;;
355.251; evolves from : ;404.251;;;
367.251; evolves from : ;365.251;;;
6.254; evolves from : ;6.190;5.190;4.190;
9.254; evolves from : ;9.190;7.190;;
18.254; evolves from : ;17.190;;;
20.254; evolves from : ;20.190;19.190;;
26.254; evolves from : ;26.190;25.190;172.190;
45.254; evolves from : ;43.190;;;
47.254; evolves from : ;47.190;;;
53.254; evolves from : ;52.190;;;
65.254; evolves from : ;64.190;63.190;;
80.254; evolves from : ;79.190;;;
94.254; evolves from : ;93.190;;;
101.254; evolves from : ;100.190;;;
115.254; evolves from : ;115.190;;;
128.254; evolves from : ;128.190;;;
132.254; evolves from : ;132.190;;;
143.254; evolves from : ;260.190;;;
162.254; evolves from : ;161.190;;;
182.254; evolves from : ;43.190;;;
185.254; evolves from : ;185.190;257.190;;
199.254; evolves from : ;79.190;;;
201.254; evolves from : ;201.190;;;
202.254; evolves from : ;253.190;;;
212.254; evolves from : ;212.190;123.190;;
217.254; evolves from : ;216.190;;;
219.254; evolves from : ;219.190;218.190;;
224.254; evolves from : ;223.190;;;
230.254; evolves from : ;116.190;;;
248.254; evolves from : ;246.190;;;
251.254; evolves from : ;251.190;;;
263.254; evolves from : ;263.190;81.190;;
264.254; evolves from : ;108.190;;;
265.254; evolves from : ;265.190;;;
270.254; evolves from : ;193.190;;;
274.254; evolves from : ;220.190;;;
278.254; evolves from : ;276.190;;;
281.254; evolves from : ;279.190;;;
284.254; evolves from : ;282.190;;;
313.254; evolves from : ;311.190;;;
329.254; evolves from : ;329.190;327.190;;
334.254; evolves from : ;392.190;;;
353.254; evolves from : ;402.190;;;
354.254; evolves from : ;403.190;;;
358.254; evolves from : ;358.190;;;
363.254; evolves from : ;412.190;;;
364.254; evolves from : ;364.190;;;
370.254; evolves from : ;370.190;;;
15.255; evolves from : ;15.200;;;
20.255; evolves from : ;20.200;;;
71.255; evolves from : ;71.200;;;
94.255; evolves from : ;94.200;93.200;92.200;
97.255; evolves from : ;97.200;96.200;;
105.255; evolves from : ;104.200;;;
169.255; evolves from : ;42.200;41.200;;
222.255; evolves from : ;222.200;;;
274.255; evolves from : ;221.200;;;
284.255; evolves from : ;282.200;;;
313.255; evolves from : ;311.200;;;
